"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"MZ3ELZDD","journalArticle","2014","Balhara, Yatan Pal Singh; Mishra, Ashwani","Compliance of retraction notices for retracted articles on mental disorders with COPE guidelines on retraction","Current Science","","","","","The current study is aimed at assessment of compliance of retraction notices for articles on mental disorders with COPE guidelines and impact of open access on post-retraction citation of retracted articles on mental disorders. A bibliometric search was carried out for retraction notices for articles on mental disorders using PubMed. Twenty-four (43.63%) articles were retracted in the year 2010 or later and 31 (56.36%) were retracted before 2010. A significantly higher proportion of articles cited at least once post-retraction were without a freely accessible retraction notice (chi square = 10.06, df = 1, P = 0.002). Open access status of the article did not influence the times (in months) to retraction after publication (U = 321.00, P = 0.73).","2014","2019-11-07 14:39:58","2021-06-11 19:57:29","","757–760","","5","107","","","","","","","","","","en","","","","","Zotero","","","","/Users/jodi/Zotero/storage/V3KUQE8D/Balhara and Mishra - 2014 - Compliance of retraction notices for retracted art.pdf","","assessment of retraction notice quality; RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HEPUYY58","journalArticle","2018","Ribeiro, M. D.; Vasconcelos, S. M. R.","Retractions covered by Retraction Watch in the 2013–2015 period: Prevalence for the most productive countries","Scientometrics","","0138-9130, 1588-2861","10.1007/s11192-017-2621-6","http://link.springer.com/10.1007/s11192-017-2621-6","The research output of countries is among the indicators that help us understand the dynamics of science. Increasingly, these dynamics have been marked by changes in scientiﬁc communication. Researchers’ attitudes toward open science, alternative models of publication and toward originality are among the elements shaping the current scientiﬁc landscape. This changing panorama reﬂects on the attitude of authors, editors and publishers toward the correction of the literature, a practice that is encountered to different extents in different ﬁelds. This practice may suggest, among several issues, commitment of the scientiﬁc community to boosting the reliability of the research record. Would the research output of countries have any association with this panorama? We analyzed 1623 retractions issued in 2013–2015 and discussed in Retraction Watch (RW), www. retractionwatch.com. These retractions account for a considerable fraction of the total of retraction notices in PubMed in the same period. They were categorized by reason, ﬁeld and country (that of the corresponding author). These retractions were distributed among 71 countries, with 15 countries accounting for a major share (85%)—most of those with the largest number of publications in the Scimago Journal & Country Rank (SJR). However, there is no consistent pattern for the relationship between ranking in SJR and ranking in number of retractions across countries in our RW dataset, which is skewed mostly by the fact that the RW website tends to post newsworthy retractions, with a bias toward biomedical and clinical sciences. This caveat notwithstanding, the prevalence of the most productive countries in our dataset of retractions is worth noting. Gradually, retractions have been permeating the dynamics of research productivity in many countries but, so far, there is limited knowledge of this interaction. We believe it should be further explored.","2018-02","2019-11-07 14:34:01","2021-06-11 19:57:29","2019-11-07 14:34:01","719-734","","2","114","","","Retractions covered by Retraction Watch in the 2013–2015 period","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/XN5EHV7B/Ribeiro and Vasconcelos - 2018 - Retractions covered by Retraction Watch in the 201.pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LFPJK939","journalArticle","2019","Saikia, Priyam; Thakuria, Bandana","Retraction of papers authored by Yuhji Saitoh – Beyond the Fujii phenomenon","Indian Journal of Anaesthesia","","0019-5049","10.4103/ija.IJA_267_19","http://www.ijaweb.org/text.asp?2019/63/7/571/262613","Background and Aims: Various aspects of retracted articles authored by Yoshitaka Fujii and their retraction notices have been examined. Yuhji Saitoh has coauthored many articles with Yoshitaka Fujii which were subsequently retracted. Japanese Society of Anesthesiology (JSA) recommends retraction of various articles by Yuhji Saitoh, but various attributes of those and their retraction notices have not been examined.","2019","2019-11-07 14:33:30","2021-06-11 19:57:29","2019-11-07 14:33:30","571-584","","7","63","","","","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/QAB2TUJV/_EPPI-Reviewer Coding Report.pdf; /Users/jodi/Zotero/storage/LI3KFQDW/Saikia and Thakuria - 2019 - Retraction of papers authored by Yuhji Saitoh – Be.pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QNCW3UGU","journalArticle","2018","Fanelli, Daniele; Ioannidis, John P.A.; Goodman, Steven","Improving the integrity of published science: An expanded taxonomy of retractions and corrections","European Journal of Clinical Investigation","","00142972","10.1111/eci.12898","http://doi.wiley.com/10.1111/eci.12898","","2018-04","2019-11-07 14:33:25","2021-06-11 19:57:29","2019-11-07 14:33:25","e12898","","4","48","","","Improving the integrity of published science","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/T2FY9BH8/_EPPI-Reviewer Coding Report.pdf; /Users/jodi/Zotero/storage/LHKTIYLR/Fanelli et al. - 2018 - Improving the integrity of published science An e.pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EE7NF7KM","journalArticle","2019","Mena, Jorge D.; Ndoye, Medina; Cohen, Andrew J.; Kamal, Puneet; Breyer, Benjamin N.","The landscape of urological retractions: The prevalence of reported research misconduct","BJU International","","14644096","10.1111/bju.14706","http://doi.wiley.com/10.1111/bju.14706","","2019-07","2019-11-07 14:30:39","2021-06-11 19:57:29","2019-11-07 14:30:39","174-179","","1","124","","","The landscape of urological retractions","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/RCYXR7BT/Mena et al. - 2019 - The landscape of urological retractions the preva.pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YX3B2QC","conferencePaper","2018","Jan, Rosy; Zainab, Tazeem","The impact story of retracted articles: Altmetric it!","2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)","978-1-5386-0828-9","","10.1109/ETTLIS.2018.8485245","https://ieeexplore.ieee.org/document/8485245/","The informal sharing of scholarly documents greatly promotes the openness of science. The benefit of open access, however, comes with a cost when retracted articles persist, without notification of invalidation, on the publisher’s website, public Internet and on various social media platforms. This study unfolds the secret life and journey of 10 highly cited retracted papers in terms of their presence in the ecosystem of scholarly communication. The study focuses on the postretraction citations to retracted papers with emphasis on their presence on various social media platforms.","2018-02","2019-11-07 14:30:38","2021-06-11 19:57:29","2019-11-07 14:30:38","1-5","","","","","","","","","","","IEEE","Noida","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/AYVWNQ2L/Jan and Zainab - 2018 - The Impact Story of Retracted Articles Altmetric i.pdf","","altmetrics; RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2018 5th International Symposium on Emerging Trends and Technologies in Libraries and Information Services (ETTLIS)","","","","","","","","","","","","","","",""
"KJ55SRAK","journalArticle","2019","Hesselmann, Felicitas; Reinhart, Martin","Science means never having to say you’re sorry? Apologies for scientific misconduct","Science Communication","","1075-5470, 1552-8545","10.1177/1075547019860848","http://journals.sagepub.com/doi/10.1177/1075547019860848","Retractions of journal articles exclude fraudulent or erroneous research from legitimate science and perform boundary work. Analyzing retractions from different disciplines and focusing on their apologetic aspects, we find that these apologies shift between openly addressing emotional, normative, and social themes and concealing them in a more scientific style of communication. Their boundary work remains highly ambivalent: They alternate between scientific and nonscientific forms of speaking, portray unstable patterns of control and coercion, and avoid drawing a boundary between legitimate and nonlegitimate science. In line with the hypothetical nature of scientific knowledge, retractions thus leave boundary making to the future.","2019-10","2019-11-07 14:30:31","2021-06-11 19:57:29","2019-11-07 14:30:31","552-579","","5","41","","","Science Means Never Having to Say You’re Sorry?","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/2U4SPDQC/Hesselmann and Reinhart - 2019 - Science Means Never Having to Say You’re Sorry Ap.pdf","","RetractionReviewBib-v1-2020-10","apologies; boundary work; defense; discourse; ethics; image repair strategies; journals; management; plagiarism; publication; retract articles; retractions; scientific misconduct; sociology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R2G3N453","journalArticle","2019","Rubbo, Priscila; Helmann, Caroline Lievore; Bilynkievycz dos Santos, Celso; Pilatti, Luiz Alberto","Retractions in the engineering field: A study on the Web of Science database","Ethics & Behavior","","1050-8422, 1532-7019","10.1080/10508422.2017.1390667","https://www.tandfonline.com/doi/full/10.1080/10508422.2017.1390667","This study assesses the retractions of scientific articles in engineering journals indexed on the Web of Science from 1945 to 2015. The data set was built based on documents containing the keywords retracted, retraction, withdrawal, or redress. We used database exploration techniques, including Structured Query Language and analysis of variance, for data analysis. We analyzed 238 retractions published by 117 journals. The most common reason for retraction was unethical research, and higher impact factors journals tended to publish more retractions. In conclusion, most of the analyzed retractions were the result of unethical research and were retracted by editors.","2019-02-17","2019-11-07 14:30:30","2021-06-11 19:57:29","2019-11-07 14:30:30","141-155","","2","29","","","Retractions in the Engineering Field","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/CKUHETIH/_EPPI-Reviewer Coding Report.pdf; /Users/jodi/Zotero/storage/DFGH85YJ/Rubbo et al. - 2019 - Retractions in the Engineering Field A Study on t.pdf","","RetractionReviewBib-v1-2020-10","articles; citation; ethics; impact; journals; management; metaanalysis; plagiarism; publications; retraction; scientific misconduct; unethical research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASUR9FDS","journalArticle","2018","Wray, K. Brad; Andersen, Line Edslev","Retractions in Science","Scientometrics","","0138-9130, 1588-2861","10.1007/s11192-018-2922-4","http://link.springer.com/10.1007/s11192-018-2922-4","Retractions are rare in science, but there is growing concern about the impact retracted papers have. We present data on the retractions in the journal Science, between 1983 and 2017. Each year, approximately 2.6 papers are retracted; that is about 0.34% of the papers published in the journal. 30% of the retracted papers are retracted within 1 year of publication. Some papers are retracted almost 12 years after publication. 51% of the retracted papers are retracted due to honest mistakes. Smaller research teams of 2–4 scientists are responsible for a disproportionately larger share of the retracted papers especially when it comes to retractions due to honest mistakes. In 60% of the cases all authors sign the retraction notice.","2018-12","2019-11-07 14:30:29","2021-06-11 19:57:29","2019-11-07 14:30:29","2009-2019","","3","117","","","","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/HGYBFKE9/Wray and Andersen - 2018 - Retractions in Science.pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3XN8N4DJ","journalArticle","2018","Cox, Adam; Craig, Russell; Tourish, Dennis","Retraction statements and research malpractice in economics","Research Policy","","00487333","10.1016/j.respol.2018.02.016","https://linkinghub.elsevier.com/retrieve/pii/S0048733318300489","We draw on rational crime theory to help analyse 55 articles that have been retracted from 734 peer-reviewed journals in the ﬁeld of economics. We highlight and discuss what these ﬁndings indicate regarding the nature and pattern of research malpractice in that discipline. Particular attention is given to exploring “no reason” retractions and the policy guidelines of publishers regarding retracted papers. We conclude that the frequent vagueness of retraction statements, and a reluctance to signal research malpractice, generally results in little damage to the reputation of caught, and known, oﬀenders. Thus, a key deterrent to engaging in research malpractice is lacking. To reduce the incidence of research malpractice, we oﬀer several recommendations for publishers and journal editors.","2018-06","2019-11-07 14:30:27","2021-06-11 19:57:29","2019-11-07 14:30:27","924-935","","5","47","","","","","","","","","","en","","","","","Crossref","","","","/Users/jodi/Zotero/storage/ABHHSDH7/Cox et al. - 2018 - Retraction statements and research malpractice in .pdf","","RetractionReviewBib-v1-2020-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
